,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,TMDB ID,Correct ID,Vote Average,Vote Count,Genre,Movie Budget,Movie Revenue,Original Language
0,1,The Irishman,2019,18+,98/100,1,0,0,0,0,255839,398978,7.637,5489,Crime,159000000,968853,en
1,3,David Attenborough: A Life on Our Planet,2020,7+,95/100,1,0,0,0,0,664280,664280,8.545,231,Documentary,0,0,en
2,5,Roma,2018,18+,94/100,1,0,0,0,0,11035,426426,7.678,3431,Drama,15000000,1140769,es
3,6,To All the Boys I've Loved Before,2018,13+,94/100,1,0,0,0,0,466282,466282,7.69,7636,Comedy,0,0,en
4,7,The Social Dilemma,2020,13+,93/100,1,0,0,0,0,656690,656690,7.508,1249,Documentary,0,0,en
5,8,Okja,2017,13+,92/100,1,0,0,0,0,387426,387426,7.413,3664,Adventure,50000000,0,en
6,9,The Ballad of Buster Scruggs,2018,16+,92/100,1,0,0,0,0,537996,537996,7.145,3314,Western,0,0,en
7,10,The Trial of the Chicago 7,2020,18+,92/100,1,0,0,0,0,556984,556984,7.76,2411,Drama,35000000,107423,en
8,11,Article 15,2019,18+,92/100,1,0,0,0,0,597089,597089,7.7,107,Drama,0,0,hi
9,13,Dolemite Is My Name,2019,18+,92/100,1,0,0,0,0,528888,528888,7.049,946,Drama,0,0,en
10,14,Mudbound,2017,18+,91/100,1,0,0,0,0,414425,414425,7.431,1039,Drama,10000000,0,en
11,16,Fyre,2019,18+,91/100,1,0,0,0,0,449344,567860,6.914,782,Documentary,0,0,en
12,17,Miss Americana,2020,18+,90/100,1,0,0,0,0,653567,653567,7.9,429,Documentary,0,0,en
13,18,Virunga,2014,16+,90/100,1,0,0,0,0,263614,263614,8,178,Documentary,0,0,en
14,21,The King,2019,18+,90/100,1,0,0,0,0,13917,504949,7.165,2562,Drama,0,0,en
15,22,John Mulaney: Kid Gorgeous at Radio City,2018,18+,89/100,1,0,0,0,0,520594,520594,7.956,172,Comedy,0,0,en
16,23,I Am Mother,2019,13+,89/100,1,0,0,0,0,505948,505948,6.694,2091,Science Fiction,0,643593,en
17,24,Tell Me Who I Am,2019,18+,89/100,1,0,0,0,0,627070,627070,7.5,165,Documentary,0,0,en
18,26,Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89/100,1,0,0,0,0,355020,355020,8.037,228,Documentary,0,0,uk
19,29,Django Unchained,2012,18+,89/100,1,0,0,0,0,68718,68718,8.15,22789,Drama,100000000,425368238,en
20,30,The Half of It,2020,13+,89/100,1,0,0,0,0,597219,597219,7.156,1255,Comedy,0,0,en
21,31,The Boy Who Harnessed the Wind,2019,7+,89/100,1,0,0,0,0,491480,491480,7.939,1312,Drama,0,0,en
22,32,The Devil All the Time,2020,18+,89/100,1,0,0,0,0,499932,499932,7.27,2626,Crime,0,0,en
23,33,The Fundamentals of Caring,2016,18+,89/100,1,0,0,0,0,318121,318121,7.327,1923,Comedy,0,0,en
24,34,Pieces of a Woman,2020,18+,88/100,1,0,0,0,0,641662,641662,7.098,971,Drama,0,0,en
25,35,Gerald's Game,2017,18+,88/100,1,0,0,0,0,343674,343674,6.398,3042,Horror,0,0,en
26,38,Always Be My Maybe,2019,13+,88/100,1,0,0,0,0,384487,513576,6.646,1137,Romance,0,0,en
27,40,Bill Burr: Paper Tiger,2019,18+,87/100,1,0,0,0,0,625128,625128,7.274,117,Comedy,0,0,en
28,42,Kiss the Ground,2020,18+,87/100,1,0,0,0,0,737157,737157,8.1,47,Documentary,0,0,en
29,43,Crip Camp: A Disability Revolution,2020,18+,87/100,1,0,0,0,0,653725,653725,7.2,112,Documentary,0,0,en
30,44,Extraction,2020,18+,87/100,1,0,0,0,0,218381,545609,7.361,4561,Drama,65000000,0,en
31,47,His House,2020,16+,87/100,1,0,0,0,0,575774,575774,6.475,806,Drama,0,0,en
32,49,The Guernsey Literary & Potato Peel Pie Society,2018,16+,87/100,1,0,0,0,0,451480,451480,7.476,1149,Romance,0,23148937,en
33,50,A Secret Love,2020,18+,87/100,1,0,0,0,0,687156,687156,7.4,101,Documentary,0,0,en
34,51,The Night Comes for Us,2018,18+,87/100,1,0,0,0,0,449992,449992,6.813,523,Action,0,0,id
35,53,Pad Man,2018,13+,87/100,1,0,0,0,0,447856,447856,7.5,156,Comedy,10000000,23000000,hi
36,54,American Factory,2019,13+,86/100,1,0,0,0,0,565716,565716,7.198,364,Documentary,0,0,en
37,55,Bird Box,2018,18+,86/100,1,0,0,0,0,405774,405774,6.873,8446,Thriller,19800000,0,en
38,59,A Shaun the Sheep Movie: Farmageddon,2019,all,86/100,1,0,0,0,0,422803,422803,6.93,378,Comedy,0,42880428,en
39,61,What Happened to Monday,2017,18+,86/100,1,0,0,0,0,406990,406990,7.179,5290,Science Fiction,20000000,27975429,en
40,62,Anthony Jeselnik: Thoughts and Prayers,2015,18+,86/100,1,0,0,0,0,364089,364089,7.439,82,Comedy,0,0,en
41,63,The White Helmets,2016,16+,86/100,1,0,0,0,0,416211,416211,7.4,162,Documentary,0,0,ar
42,64,Invader ZIM: Enter the Florpus,2019,7+,86/100,1,0,0,0,0,472983,472983,7.6,170,Family,0,0,en
43,69,Team Foxcatcher,2016,16+,85/100,1,0,0,0,0,390520,390520,7.1,103,Documentary,0,0,en
44,70,The Meyerowitz Stories (New and Selected),2017,18+,85/100,1,0,0,0,0,396398,396398,6.5,969,Comedy,0,0,en
45,72,The Hateful Eight,2015,18+,85/100,1,0,0,0,0,273248,273248,7.737,12258,Drama,44000000,155760117,en
46,73,Rush,2013,18+,84/100,1,0,0,0,0,20289,96721,7.703,5985,Drama,38000000,90247624,en
47,75,Eurovision Song Contest: The Story of Fire Saga,2020,13+,84/100,1,0,0,0,0,531454,531454,6.433,1105,Comedy,0,0,en
48,77,The Perfection,2018,18+,84/100,1,0,0,0,0,529962,529962,6.54,1090,Horror,0,0,en
49,78,Dave Chappelle: Sticks & Stones,2019,18+,84/100,1,0,0,0,0,624932,624932,7.646,219,Comedy,0,0,en
50,82,The Christmas Chronicles,2018,7+,84/100,1,0,0,0,0,527435,527435,7.084,1686,Comedy,0,0,en
51,85,Ma Rainey's Black Bottom,2020,18+,84/100,1,0,0,0,0,615667,615667,6.693,919,Drama,0,0,en
52,86,Calibre,2018,18+,84/100,1,0,0,0,0,474051,474051,6.5,510,Horror,0,0,en
53,87,Silver Linings Playbook,2012,18+,84/100,1,0,0,0,0,82693,82693,7.122,10611,Drama,21000000,236412453,en
54,88,Over the Moon,2020,7+,84/100,1,0,0,0,0,126181,560050,7.314,1074,Animation,0,0,en
55,90,Nightcrawler,2014,18+,84/100,1,0,0,0,0,242582,242582,7.687,9106,Crime,8500000,50300000,en
56,91,1922,2017,18+,84/100,1,0,0,0,0,291519,452507,5.935,2266,Horror,0,0,en
57,92,Paddleton,2019,18+,84/100,1,0,0,0,0,525183,525183,7,207,Comedy,0,0,en
58,96,The Ritual,2017,18+,83/100,1,0,0,0,0,212930,433808,6.209,2338,Horror,1000000,1786396,en
59,97,The Hater,2020,18+,83/100,1,0,0,0,0,944904,590854,6.921,441,Drama,0,0,pl
60,99,22-Jul,2018,18+,83/100,1,0,0,0,0,474354,,,,,,,
61,100,Adam Sandler: 100% Fresh,2018,18+,83/100,1,0,0,0,0,517596,517596,7.302,86,Comedy,0,0,en
62,103,Dumplin',2018,13+,83/100,1,0,0,0,0,472734,472734,6.83,1246,Comedy,0,0,en
63,104,The Conjuring,2013,18+,83/100,1,0,0,0,0,138843,138843,7.533,9556,Horror,13000000,319494638,en
64,105,Marriage Story,2019,18+,83/100,1,0,0,0,0,492188,492188,7.769,5799,Drama,18000000,2300000,en
65,106,My Octopus Teacher,2020,all,83/100,1,0,0,0,0,682110,682110,7.944,648,Documentary,0,0,en
66,107,About Time,2013,13+,83/100,1,0,0,0,0,122906,122906,7.91,7015,Drama,12000000,87100449,en
67,108,Hey Arnold! The Jungle Movie,2017,7+,83/100,1,1,0,0,0,439058,439058,7.7,181,Family,0,0,en
68,114,The Theory of Everything,2014,13+,82/100,1,0,0,0,0,266856,266856,7.878,9419,Drama,15000000,123726688,en
69,122,How to Train Your Dragon 2,2014,7+,82/100,1,0,0,0,0,82702,82702,7.67,8229,Fantasy,145000000,621537500,en
70,127,Braven,2018,18+,82/100,1,0,0,0,0,459910,459910,6.242,840,Drama,5000000,854319,en
71,129,Captain Fantastic,2016,18+,82/100,1,0,0,0,0,334533,334533,7.932,5504,Adventure,5000000,23123592,en
