,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,TMDB ID
0,1,The Irishman,2019,18+,98/100,1,0,0,0,0,255839
1,2,Dangal,2016,7+,97/100,1,0,0,0,0,#N/A
2,3,David Attenborough: A Life on Our Planet,2020,7+,95/100,1,0,0,0,0,664280
3,4,Lagaan: Once Upon a Time in India,2001,7+,94/100,1,0,0,0,0,#N/A
4,5,Roma,2018,18+,94/100,1,0,0,0,0,11035
5,6,To All the Boys I've Loved Before,2018,13+,94/100,1,0,0,0,0,466282
6,7,The Social Dilemma,2020,13+,93/100,1,0,0,0,0,656690
7,8,Okja,2017,13+,92/100,1,0,0,0,0,387426
8,9,The Ballad of Buster Scruggs,2018,16+,92/100,1,0,0,0,0,537996
9,10,The Trial of the Chicago 7,2020,18+,92/100,1,0,0,0,0,556984
10,11,Article 15,2019,18+,92/100,1,0,0,0,0,597089
11,12,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92/100,1,0,0,0,0,#N/A
12,13,Dolemite Is My Name,2019,18+,92/100,1,0,0,0,0,528888
13,14,Mudbound,2017,18+,91/100,1,0,0,0,0,414425
14,15,Swades,2004,all,91/100,1,0,0,0,0,#N/A
15,16,Fyre,2019,18+,91/100,1,0,0,0,0,449344
16,17,Miss Americana,2020,18+,90/100,1,0,0,0,0,653567
17,18,Virunga,2014,16+,90/100,1,0,0,0,0,263614
18,19,Black Friday,2004,18+,90/100,1,0,0,0,0,13784
19,20,Talvar,2015,7+,90/100,1,0,0,0,0,#N/A
20,21,The King,2019,18+,90/100,1,0,0,0,0,13917
21,22,John Mulaney: Kid Gorgeous at Radio City,2018,18+,89/100,1,0,0,0,0,520594
22,23,I Am Mother,2019,13+,89/100,1,0,0,0,0,505948
23,24,Tell Me Who I Am,2019,18+,89/100,1,0,0,0,0,627070
24,25,The Departed,2006,18+,89/100,1,0,0,0,0,1422
25,26,Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89/100,1,0,0,0,0,355020
26,27,Terminator 2: Judgment Day,1991,18+,89/100,1,0,0,0,0,280
27,28,I Lost My Body,2019,18+,89/100,1,0,0,0,0,#N/A
28,29,Django Unchained,2012,18+,89/100,1,0,0,0,0,68718
29,30,The Half of It,2020,13+,89/100,1,0,0,0,0,597219
30,31,The Boy Who Harnessed the Wind,2019,7+,89/100,1,0,0,0,0,491480
31,32,The Devil All the Time,2020,18+,89/100,1,0,0,0,0,499932
32,33,The Fundamentals of Caring,2016,18+,89/100,1,0,0,0,0,318121
33,34,Pieces of a Woman,2020,18+,88/100,1,0,0,0,0,641662
34,35,Gerald's Game,2017,18+,88/100,1,0,0,0,0,343674
35,36,On Body and Soul,2017,,88/100,1,0,0,0,0,#N/A
36,37,Shutter Island,2010,18+,88/100,1,0,0,0,0,11324
37,38,Always Be My Maybe,2019,13+,88/100,1,0,0,0,0,384487
38,39,The Intouchables,2011,7+,88/100,1,0,0,0,0,#N/A
39,40,Bill Burr: Paper Tiger,2019,18+,87/100,1,0,0,0,0,625128
40,41,Special 26,2013,,87/100,1,0,0,0,0,#N/A
41,42,Kiss the Ground,2020,18+,87/100,1,0,0,0,0,737157
42,43,Crip Camp: A Disability Revolution,2020,18+,87/100,1,0,0,0,0,653725
43,44,Extraction,2020,18+,87/100,1,0,0,0,0,218381
44,45,No Direction Home: Bob Dylan,2005,all,87/100,1,0,0,0,0,19082
45,46,Kabhi Khushi Kabhie Gham,2001,all,87/100,1,0,0,0,0,#N/A
46,47,His House,2020,16+,87/100,1,0,0,0,0,575774
47,48,Super Deluxe,2019,18+,87/100,1,0,0,0,0,#N/A
48,49,The Guernsey Literary & Potato Peel Pie Society,2018,16+,87/100,1,0,0,0,0,451480
49,50,A Secret Love,2020,18+,87/100,1,0,0,0,0,687156
50,51,The Night Comes for Us,2018,18+,87/100,1,0,0,0,0,449992
51,52,The Big Lebowski,1998,18+,87/100,1,0,0,0,0,115
52,53,Pad Man,2018,13+,87/100,1,0,0,0,0,447856
53,54,American Factory,2019,13+,86/100,1,0,0,0,0,565716
54,55,Bird Box,2018,18+,86/100,1,0,0,0,0,405774
55,56,The Pianist,2002,18+,86/100,1,0,0,0,0,423
56,57,3 Idiots,2009,13+,86/100,1,0,0,0,0,20453
57,58,The Distinguished Citizen,2016,,86/100,1,0,0,0,0,#N/A
58,59,A Shaun the Sheep Movie: Farmageddon,2019,all,86/100,1,0,0,0,0,422803
59,60,A Clockwork Orange,1971,18+,86/100,1,0,0,0,0,185
60,61,What Happened to Monday,2017,18+,86/100,1,0,0,0,0,406990
61,62,Anthony Jeselnik: Thoughts and Prayers,2015,18+,86/100,1,0,0,0,0,364089
62,63,The White Helmets,2016,16+,86/100,1,0,0,0,0,416211
63,64,Invader ZIM: Enter the Florpus,2019,7+,86/100,1,0,0,0,0,472983
64,65,Happy as Lazzaro,2018,13+,85/100,1,0,0,0,0,#N/A
65,66,Chasing Coral,2017,,85/100,1,0,0,0,0,432615
