,Unnamed: 0,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,TMDB ID
0,0,1,The Irishman,2019,18+,98/100,1,0,0,0,0,255839
2,2,3,David Attenborough: A Life on Our Planet,2020,7+,95/100,1,0,0,0,0,664280
4,4,5,Roma,2018,18+,94/100,1,0,0,0,0,11035
5,5,6,To All the Boys I've Loved Before,2018,13+,94/100,1,0,0,0,0,466282
6,6,7,The Social Dilemma,2020,13+,93/100,1,0,0,0,0,656690
7,7,8,Okja,2017,13+,92/100,1,0,0,0,0,387426
8,8,9,The Ballad of Buster Scruggs,2018,16+,92/100,1,0,0,0,0,537996
9,9,10,The Trial of the Chicago 7,2020,18+,92/100,1,0,0,0,0,556984
10,10,11,Article 15,2019,18+,92/100,1,0,0,0,0,597089
12,12,13,Dolemite Is My Name,2019,18+,92/100,1,0,0,0,0,528888
13,13,14,Mudbound,2017,18+,91/100,1,0,0,0,0,414425
15,15,16,Fyre,2019,18+,91/100,1,0,0,0,0,449344
16,16,17,Miss Americana,2020,18+,90/100,1,0,0,0,0,653567
17,17,18,Virunga,2014,16+,90/100,1,0,0,0,0,263614
20,20,21,The King,2019,18+,90/100,1,0,0,0,0,13917
21,21,22,John Mulaney: Kid Gorgeous at Radio City,2018,18+,89/100,1,0,0,0,0,520594
22,22,23,I Am Mother,2019,13+,89/100,1,0,0,0,0,505948
23,23,24,Tell Me Who I Am,2019,18+,89/100,1,0,0,0,0,627070
25,25,26,Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89/100,1,0,0,0,0,355020
28,28,29,Django Unchained,2012,18+,89/100,1,0,0,0,0,68718
29,29,30,The Half of It,2020,13+,89/100,1,0,0,0,0,597219
30,30,31,The Boy Who Harnessed the Wind,2019,7+,89/100,1,0,0,0,0,491480
31,31,32,The Devil All the Time,2020,18+,89/100,1,0,0,0,0,499932
32,32,33,The Fundamentals of Caring,2016,18+,89/100,1,0,0,0,0,318121
33,33,34,Pieces of a Woman,2020,18+,88/100,1,0,0,0,0,641662
34,34,35,Gerald's Game,2017,18+,88/100,1,0,0,0,0,343674
37,37,38,Always Be My Maybe,2019,13+,88/100,1,0,0,0,0,384487
39,39,40,Bill Burr: Paper Tiger,2019,18+,87/100,1,0,0,0,0,625128
41,41,42,Kiss the Ground,2020,18+,87/100,1,0,0,0,0,737157
42,42,43,Crip Camp: A Disability Revolution,2020,18+,87/100,1,0,0,0,0,653725
43,43,44,Extraction,2020,18+,87/100,1,0,0,0,0,218381
46,46,47,His House,2020,16+,87/100,1,0,0,0,0,575774
48,48,49,The Guernsey Literary & Potato Peel Pie Society,2018,16+,87/100,1,0,0,0,0,451480
