,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,TMDB ID
0,1,The Irishman,2019,18+,98/100,1,0,0,0,0,255839
1,3,David Attenborough: A Life on Our Planet,2020,7+,95/100,1,0,0,0,0,664280
2,5,Roma,2018,18+,94/100,1,0,0,0,0,11035
3,6,To All the Boys I've Loved Before,2018,13+,94/100,1,0,0,0,0,466282
4,7,The Social Dilemma,2020,13+,93/100,1,0,0,0,0,656690
5,8,Okja,2017,13+,92/100,1,0,0,0,0,387426
6,9,The Ballad of Buster Scruggs,2018,16+,92/100,1,0,0,0,0,537996
7,10,The Trial of the Chicago 7,2020,18+,92/100,1,0,0,0,0,556984
8,11,Article 15,2019,18+,92/100,1,0,0,0,0,597089
9,13,Dolemite Is My Name,2019,18+,92/100,1,0,0,0,0,528888
10,14,Mudbound,2017,18+,91/100,1,0,0,0,0,414425
11,16,Fyre,2019,18+,91/100,1,0,0,0,0,449344
12,17,Miss Americana,2020,18+,90/100,1,0,0,0,0,653567
13,18,Virunga,2014,16+,90/100,1,0,0,0,0,263614
14,21,The King,2019,18+,90/100,1,0,0,0,0,13917
15,22,John Mulaney: Kid Gorgeous at Radio City,2018,18+,89/100,1,0,0,0,0,520594
16,23,I Am Mother,2019,13+,89/100,1,0,0,0,0,505948
17,24,Tell Me Who I Am,2019,18+,89/100,1,0,0,0,0,627070
18,26,Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89/100,1,0,0,0,0,355020
19,29,Django Unchained,2012,18+,89/100,1,0,0,0,0,68718
20,30,The Half of It,2020,13+,89/100,1,0,0,0,0,597219
21,31,The Boy Who Harnessed the Wind,2019,7+,89/100,1,0,0,0,0,491480
22,32,The Devil All the Time,2020,18+,89/100,1,0,0,0,0,499932
23,33,The Fundamentals of Caring,2016,18+,89/100,1,0,0,0,0,318121
24,34,Pieces of a Woman,2020,18+,88/100,1,0,0,0,0,641662
25,35,Gerald's Game,2017,18+,88/100,1,0,0,0,0,343674
26,38,Always Be My Maybe,2019,13+,88/100,1,0,0,0,0,384487
27,40,Bill Burr: Paper Tiger,2019,18+,87/100,1,0,0,0,0,625128
28,42,Kiss the Ground,2020,18+,87/100,1,0,0,0,0,737157
29,43,Crip Camp: A Disability Revolution,2020,18+,87/100,1,0,0,0,0,653725
30,44,Extraction,2020,18+,87/100,1,0,0,0,0,218381
31,47,His House,2020,16+,87/100,1,0,0,0,0,575774
32,49,The Guernsey Literary & Potato Peel Pie Society,2018,16+,87/100,1,0,0,0,0,451480
33,50,A Secret Love,2020,18+,87/100,1,0,0,0,0,687156
34,51,The Night Comes for Us,2018,18+,87/100,1,0,0,0,0,449992
35,53,Pad Man,2018,13+,87/100,1,0,0,0,0,447856
36,54,American Factory,2019,13+,86/100,1,0,0,0,0,565716
37,55,Bird Box,2018,18+,86/100,1,0,0,0,0,405774
38,59,A Shaun the Sheep Movie: Farmageddon,2019,all,86/100,1,0,0,0,0,422803
39,61,What Happened to Monday,2017,18+,86/100,1,0,0,0,0,406990
40,62,Anthony Jeselnik: Thoughts and Prayers,2015,18+,86/100,1,0,0,0,0,364089
41,63,The White Helmets,2016,16+,86/100,1,0,0,0,0,416211
42,64,Invader ZIM: Enter the Florpus,2019,7+,86/100,1,0,0,0,0,472983
43,69,Team Foxcatcher,2016,16+,85/100,1,0,0,0,0,390520
44,70,The Meyerowitz Stories (New and Selected),2017,18+,85/100,1,0,0,0,0,396398
45,72,The Hateful Eight,2015,18+,85/100,1,0,0,0,0,273248
46,73,Rush,2013,18+,84/100,1,0,0,0,0,20289
47,75,Eurovision Song Contest: The Story of Fire Saga,2020,13+,84/100,1,0,0,0,0,531454
48,77,The Perfection,2018,18+,84/100,1,0,0,0,0,529962
49,78,Dave Chappelle: Sticks & Stones,2019,18+,84/100,1,0,0,0,0,624932
50,82,The Christmas Chronicles,2018,7+,84/100,1,0,0,0,0,527435
51,85,Ma Rainey's Black Bottom,2020,18+,84/100,1,0,0,0,0,615667
52,86,Calibre,2018,18+,84/100,1,0,0,0,0,474051
53,87,Silver Linings Playbook,2012,18+,84/100,1,0,0,0,0,82693
54,88,Over the Moon,2020,7+,84/100,1,0,0,0,0,126181
55,90,Nightcrawler,2014,18+,84/100,1,0,0,0,0,242582
56,91,1922,2017,18+,84/100,1,0,0,0,0,291519
57,92,Paddleton,2019,18+,84/100,1,0,0,0,0,525183
58,96,The Ritual,2017,18+,83/100,1,0,0,0,0,212930
59,97,The Hater,2020,18+,83/100,1,0,0,0,0,944904
60,99,22-Jul,2018,18+,83/100,1,0,0,0,0,474354
61,100,Adam Sandler: 100% Fresh,2018,18+,83/100,1,0,0,0,0,517596
62,103,Dumplin',2018,13+,83/100,1,0,0,0,0,472734
63,104,The Conjuring,2013,18+,83/100,1,0,0,0,0,138843
64,105,Marriage Story,2019,18+,83/100,1,0,0,0,0,492188
65,106,My Octopus Teacher,2020,all,83/100,1,0,0,0,0,682110
66,107,About Time,2013,13+,83/100,1,0,0,0,0,122906
67,108,Hey Arnold! The Jungle Movie,2017,7+,83/100,1,1,0,0,0,439058
68,114,The Theory of Everything,2014,13+,82/100,1,0,0,0,0,266856
69,122,How to Train Your Dragon 2,2014,7+,82/100,1,0,0,0,0,82702
70,127,Braven,2018,18+,82/100,1,0,0,0,0,459910
71,129,Captain Fantastic,2016,18+,82/100,1,0,0,0,0,334533
72,130,Veronica,2017,18+,81/100,1,0,0,0,0,179796
