,Movie,ID,Release date,popularity,genres,Vote Average,Vote Count,Original Language
0,The Irishman,398978,2019-11-01,25.287,"[80, 18, 36]",7.6,5490,en
1,David Attenborough: A Life on Our Planet,664280,2020-09-28,12.37,[99],8.5,231,en
2,Roma,426426,2018-08-25,14.424,[18],7.7,3431,es
3,To All the Boys I've Loved Before,466282,2018-08-16,74.988,"[35, 10749]",7.7,7636,en
4,The Social Dilemma,656690,2020-01-26,15.102,"[99, 18]",7.5,1251,en
5,Okja,387426,2017-06-28,21.885,"[12, 18, 878, 14]",7.4,3664,en
6,The Ballad of Buster Scruggs,537996,2018-11-09,33.243,"[37, 35, 18]",7.1,3315,en
7,The Trial of the Chicago 7,556984,2020-09-25,14.451,"[18, 36]",7.8,2411,en
8,Article 15,597089,2019-05-28,5.601,"[18, 80]",7.7,107,hi
9,Dolemite Is My Name,528888,2019-10-04,9.64,"[18, 35, 36]",7.0,946,en
10,Mudbound,414425,2017-11-16,8.788,[18],7.4,1039,en
11,Fyre,567860,2019-01-18,6.763,"[99, 10770]",6.9,782,en
12,Miss Americana,653567,2020-01-31,13.607,"[99, 10402]",7.9,430,en
13,Virunga,263614,2014-11-07,5.234,"[99, 10752]",8.0,178,en
14,The King,504949,2019-10-11,22.194,"[18, 36, 10752]",7.2,2564,en
15,John Mulaney: Kid Gorgeous at Radio City,520594,2018-05-01,4.937,[35],8.0,172,en
16,I Am Mother,505948,2019-06-07,19.023,"[878, 53]",6.7,2091,en
17,Tell Me Who I Am,627070,2019-10-18,7.041,"[99, 18, 9648]",7.5,165,en
18,Winter on Fire: Ukraine's Fight for Freedom,355020,2015-09-03,8.882,[99],8.0,228,uk
19,Django Unchained,68718,2012-12-25,58.135,"[18, 37]",8.2,22796,en
20,The Half of It,597219,2020-05-01,14.875,"[35, 10749, 18]",7.2,1257,en
21,The Boy Who Harnessed the Wind,491480,2019-02-14,44.722,"[18, 36, 10751]",7.9,1313,en
22,The Devil All the Time,499932,2020-09-11,30.712,"[80, 18, 53]",7.3,2630,en
23,The Fundamentals of Caring,318121,2016-06-16,11.111,"[35, 18]",7.3,1923,en
24,Pieces of a Woman,641662,2020-12-30,12.941,[18],7.1,971,en
25,Gerald's Game,343674,2017-09-29,21.634,"[27, 53]",6.4,3043,en
26,Always Be My Maybe,513576,2019-05-31,9.286,"[10749, 35]",6.6,1137,en
27,Bill Burr: Paper Tiger,625128,2019-09-10,7.438,[35],7.3,117,en
28,Kiss the Ground,737157,2020-09-22,4.843,[99],8.1,47,en
29,Crip Camp: A Disability Revolution,653725,2020-03-25,10.114,[99],7.3,112,en
30,Extraction,545609,2020-04-24,48.021,"[18, 28, 53]",7.4,4564,en
31,His House,575774,2020-01-27,32.869,"[18, 27, 53]",6.5,808,en
32,The Guernsey Literary & Potato Peel Pie Society,451480,2018-04-19,8.681,"[10749, 18, 36]",7.5,1149,en
33,A Secret Love,687156,2020-04-29,9.627,[99],7.4,101,en
34,The Night Comes for Us,449992,2018-10-05,17.508,"[28, 53, 80]",6.8,524,id
35,Pad Man,447856,2018-02-09,10.27,"[35, 18]",7.5,156,hi
36,American Factory,565716,2019-08-21,9.277,[99],7.2,364,en
